"Name","State","Notes","User","Tags","Created","Runtime","Sweep","hidden_size","input_size","lr","num_classes","num_epochs","optimizer","prefactor","use_mup","act mean(abs(a1))","act mean(abs(a2))","act mean(abs(a3))","act mean(abs(h1))","act mean(abs(h2))","act norm a1","act norm a2","act norm a3","act norm h1","act norm h2","epoch","grad mean(abs(grad_fc1.weight))","grad mean(abs(grad_fc2.weight))","grad mean(abs(grad_fc3.weight))","grad norm fc1.weight","grad norm fc2.weight","grad norm fc3.weight","test_acc","test_loss","train_loss","trainer/global_step","val_acc","val_loss"
"mup_sgd_w9192_lr0.0625_e25_b128_7588","finished","-","","","2024-10-18T21:34:21.000Z","678","","9192","3072","0.0625","10","25","sgd","1.4142135623730951","true","0.7363260388374329","1.190590739250183","1.4334300756454468","0.3789643347263336","0.9899158477783204","583.9788208007812","923.3470458984376","37.547996520996094","421.73388671875","869.76318359375","0","0.00004724538666778244","0.000022918227841728367","0.015341701917350292","0.3324888348579407","0.3141283392906189","6.397881984710693","0.5040000081062317","1.416927695274353","1.1483407020568848","0","0.5040000081062317","1.4169280529022217"
"std_sgd_w9192_lr0.0625_e25_b128_5510","finished","-","","","2024-10-18T21:23:12.000Z","643","","9192","3072","0.0625","10","25","sgd","1.4142135623730951","false","0.29073619842529297","0.13580167293548584","3.072378158569336","0.11841180920600893","0.0784120112657547","231.21633911132812","108.91351318359376","80.9930419921875","143.71255493164062","83.53233337402344","0","0.0004634115903172642","0.0001426085218554363","0.0012916728155687451","3.2558083534240723","1.8556745052337649","0.5860579013824463","0.5360000133514404","1.6143769025802612","0.33535999059677124","0","0.5360000133514404","1.6143770217895508"
"mup_sgd_w9192_lr0.03125_e25_b128_8377","finished","-","","","2024-10-18T21:11:32.000Z","676","","9192","3072","0.03125","10","25","sgd","1.4142135623730951","true","0.7207359075546265","1.0898808240890503","1.1945065259933472","0.3742883801460266","0.8545553684234619","569.8145141601562","858.9984741210938","30.84644889831543","414.3416748046875","791.5166015625","0","0.00003063262192881666","0.000017493062841822393","0.01427570916712284","0.21569599211215973","0.23695066571235657","6.029212951660156","0.4596000015735626","1.5553933382034302","1.3754372596740725","0","0.4596000015735626","1.5553934574127195"
"std_sgd_w9192_lr0.03125_e25_b128_7589","finished","-","","","2024-10-18T21:00:11.000Z","654","","9192","3072","0.03125","10","25","sgd","1.4142135623730951","false","0.25033658742904663","0.13057096302509308","2.3498311042785645","0.11651743948459624","0.10045976936817168","197.583740234375","101.82048034667967","61.19254684448242","133.69256591796875","92.22438049316406","0","0.000520256464369595","0.00016142279491759837","0.0020997573155909777","3.6351230144500737","2.153048038482666","0.8326014280319214","0.5249000191688538","1.4376649856567385","0.5553425550460815","0","0.5249000191688538","1.4376649856567385"
"mup_sgd_w9192_lr0.01563_e25_b128_3485","finished","-","","","2024-10-18T20:48:30.000Z","677","","9192","3072","0.01563","10","25","sgd","1.4142135623730951","true","0.6905368566513062","0.9704039096832277","0.97845196723938","0.35791221261024475","0.7085626125335693","544.3198852539062","772.6261596679688","25.00004196166992","395.1407470703125","691.8743896484375","0","0.000021589044990832917","0.000014054291568754708","0.012904788367450236","0.1512674242258072","0.19034360349178311","5.514459133148193","0.4083999991416931","1.6980628967285156","1.548691987991333","0","0.4083999991416931","1.698062539100647"
"std_sgd_w9192_lr0.01563_e25_b128_2782","finished","-","","","2024-10-18T20:36:56.000Z","668","","9192","3072","0.01563","10","25","sgd","1.4142135623730951","false","0.24866390228271484","0.14266246557235718","1.7296245098114014","0.12479785084724426","0.11509905010461809","195.62545776367188","109.34915161132812","45.736351013183594","138.788818359375","101.02804565429688","0","0.0003494545817375183","0.00013006948574911803","0.002077934797853231","2.4577300548553467","1.777274489402771","0.8689074516296387","0.5248000025749207","1.335509181022644","0.869725227355957","0","0.5248000025749207","1.3355094194412231"
"mup_sgd_w9192_lr0.007813_e25_b128_5313","finished","-","","","2024-10-18T20:24:55.000Z","697","","9192","3072","0.007813","10","25","sgd","1.4142135623730951","true","0.6475807428359985","0.8261175751686096","0.7227823734283447","0.332518994808197","0.5451745390892029","508.5510559082031","659.4022216796875","18.30815696716309","366.9978332519531","564.6160888671875","0","0.00001558961048431229","0.000011443543371569833","0.01068259309977293","0.10886098444461824","0.15508711338043213","4.754332542419434","0.35409998893737793","1.8520376682281496","1.764432430267334","0","0.35409998893737793","1.8520373106002808"
"std_sgd_w9192_lr0.007813_e25_b128_3506","finished","-","","","2024-10-18T20:13:05.000Z","683","","9192","3072","0.007813","10","25","sgd","1.4142135623730951","false","0.2474302053451538","0.14037562906742096","1.4139127731323242","0.12556108832359314","0.1095341295003891","194.1623382568359","108.05912017822266","37.13836669921875","138.6217041015625","98.48880767822266","0","0.000188823978533037","0.00008538481051800773","0.0016967611154541371","1.3199204206466677","1.1461856365203855","0.7202494144439697","0.5041000247001648","1.4192233085632324","1.1282533407211304","0","0.5041000247001648","1.4192231893539429"
"mup_sgd_w9192_lr0.003906_e25_b128_6025","finished","-","","","2024-10-18T20:01:22.000Z","678","","9192","3072","0.003906","10","25","sgd","1.4142135623730951","true","0.611251711845398","0.7065992951393127","0.4395962357521057","0.31020841002464294","0.4205437898635864","480.2340087890625","562.6345825195312","11.417552947998049","344.1124572753906","453.8853454589844","0","0.000012202863217680717","0.000010053368896478789","0.00961416494101286","0.08455441147089005","0.13549737632274628","4.2777018547058105","0.30649998784065247","2.006802797317505","1.9779956340789795","0","0.30649998784065247","2.006803274154663"
"std_sgd_w9192_lr0.003906_e25_b128_2751","finished","-","","","2024-10-18T19:49:35.000Z","680","","9192","3072","0.003906","10","25","sgd","1.4142135623730951","false","0.24507522583007812","0.13458684086799622","1.2085795402526855","0.12504006922245026","0.10062584280967712","192.0612640380859","104.22687530517578","31.257381439208984","137.62295532226562","93.24395751953124","0","0.00012754408817272633","0.0000671556408633478","0.001637823530472815","0.8915825486183167","0.8901330232620239","0.693061351776123","0.4690999984741211","1.5390087366104126","1.3297185897827148","0","0.4690999984741211","1.539008855819702"
