"Name","State","Notes","User","Tags","Created","Runtime","Sweep","hidden_size","input_size","lr","num_classes","num_epochs","optimizer","prefactor","use_mup","act mean(abs(a1))","act mean(abs(a2))","act mean(abs(a3))","act mean(abs(h1))","act mean(abs(h2))","act norm a1","act norm a2","act norm a3","act norm h1","act norm h2","epoch","grad mean(abs(grad_fc1.weight))","grad mean(abs(grad_fc2.weight))","grad mean(abs(grad_fc3.weight))","grad norm fc1.weight","grad norm fc2.weight","grad norm fc3.weight","test_acc","test_loss","train_loss","trainer/global_step","val_acc","val_loss"
"mup_adam_w9192_lr0.0625_e25_b128_2466","finished","-","","","2024-10-18T14:29:37.000Z","968","","9192","3072","0.0625","10","25","adam","1.4142135623730951","true","0.6424597501754761","0.6752206087112427","5.442329406738281","0.32248371839523315","0.510744571685791","504.9181518554687","522.1409912109375","130.02084350585938","356.7595520019531","464.3321838378906","0","0.0002223729097750038","0.00012020680878777056","0.0046246666461229324","1.5623829364776611","1.5514166355133057","1.9460915327072144","0.5620999932289124","1.4834173917770386","0.12490876764059068","0","0.5620999932289124","1.4834173917770386"
"mup_adam_w512_lr0.0625_e25_b128_4003","finished","-","","","2024-10-18T06:20:51.000Z","134","","512","3072","0.0625","10","25","adam","1.4142135623730951","true","0.3422117829322815","0.3846711814403534","4.616558074951172","0.1677316278219223","0.27666348218917847","63.87117004394531","70.49006652832031","114.4743194580078","44.498191833496094","60.80304336547851","0","0.0054915472865104675","0.0014766182284802198","0.002891356591135263","8.806364059448242","1.0145995616912842","0.26852670311927795","0.5314000248908997","1.5667368173599243","0.3716033399105072","0","0.5314000248908997","1.5667365789413452"
"std_adam_w512_lr0.0625_e25_b128_5474","finished","-","","","2024-10-18T06:17:51.000Z","127","","512","3072","0.0625","10","25","adam","1.4142135623730951","false","70.29064178466797","4062.80517578125","0","24.857616424560547","0","13482.37890625","789305.125","0","7925.72998046875","0","0","0","0","0","0","0","0","0.10010000318288804","2.3048641681671143","2.302584171295166","0","0.10010000318288804","2.304865598678589"
"std_adam_w1024_lr0.0625_e25_b128_7168","finished","-","","","2024-10-18T00:14:20.000Z","128","","1024","3072","0.0625","10","25","adam","1.4142135623730951","false","65.319091796875","7360.8994140625","0","22.743000030517575","0","17526.29296875","2026858.125","0","10231.208984375","0","0","0","0","0","0","0","0","0.10010000318288804","2.302903175354004","2.302584171295166","0","0.10010000318288804","2.3029043674468994"
"mup_adam_w1024_lr0.0625_e25_b128_5691","finished","-","","","2024-10-18T00:16:51.000Z","140","","1024","3072","0.0625","10","25","adam","1.4142135623730951","true","0.42739444971084595","0.4659122526645661","4.948639869689941","0.21237802505493164","0.3449690341949463","112.57431030273438","120.67833709716795","121.23088073730467","79.26333618164062","106.15851593017578","0","0.002567790448665619","0.0009178073378279804","0.003975454717874527","5.879061222076416","1.2742784023284912","0.5423140525817871","0.5389000177383423","1.5666009187698364","0.28355854749679565","0","0.5389000177383423","1.5666013956069946"
"std_adam_w2048_lr0.0625_e25_b128_4060","finished","-","","","2024-10-18T01:29:12.000Z","165","","2048","3072","0.0625","10","25","adam","1.4142135623730951","false","50.89556884765625","12277.91796875","0","19.257726669311523","0","19539.64453125","4867064.5","0","11648.18359375","0","0","0","0","0","0","0","0","0.10000000149011612","2.3055262565612793","2.302584171295166","0","0.10000000149011612","2.305527448654175"
"mup_adam_w2048_lr0.0625_e25_b128_4073","finished","-","","","2024-10-18T01:32:47.000Z","184","","2048","3072","0.0625","10","25","adam","1.4142135623730951","true","0.5508555173873901","0.5790805816650391","5.026208877563477","0.27672070264816284","0.4179370403289795","204.58154296875","212.1451110839844","121.89952087402344","144.68988037109375","184.05064392089844","0","0.001069349586032331","0.0005066404119133949","0.004159379284828901","3.5084099769592285","1.446668028831482","0.7875235676765442","0.5479999780654907","1.5356918573379517","0.1806844174861908","0","0.5479999780654907","1.5356918573379517"
"std_adam_w9192_lr0.0625_e25_b128_1338","finished","-","","","2024-10-18T14:16:13.000Z","762","","9192","3072","0.0625","10","25","adam","1.4142135623730951","false","44.64073181152344","40785.4921875","0","14.42002296447754","0","35679.2734375","35490384","0","19496.447265625","0","0","1.1470295199766944e-11","1.1212776177384545e-13","1.6272994063371016e-10","0.000003018050847458653","0.000003756932983378647","0.000009162476999335922","0.10010000318288804","2.3221452236175537","2.302584171295166","0","0.10010000318288804","2.322145938873291"
"std_adam_w4096_lr0.0625_e25_b128_6034","finished","-","","","2024-10-18T08:32:05.000Z","278","","4096","3072","0.0625","10","25","adam","1.4142135623730951","false","51.50312805175781","21287.8203125","0","16.8523006439209","0","27868.85546875","12502748","0","15735.3173828125","0","0","0","0","0","0","0","0","0.10000000149011612","2.3025832176208496","2.302584171295166","0","0.10000000149011612","2.302584409713745"
"mup_adam_w4096_lr0.0625_e25_b128_9993","finished","-","","","2024-10-18T08:37:38.000Z","328","","4096","3072","0.0625","10","25","adam","1.4142135623730951","true","0.6422352194786072","0.6620661020278931","5.257458686828613","0.3220336437225342","0.4893604516983032","336.4749755859375","342.33148193359375","126.85467529296876","237.623046875","301.3180847167969","0","0.0004743572790175676","0.0002647173823788762","0.004585282411426306","2.217966079711914","1.5076035261154177","1.233853101730347","0.555899977684021","1.5105022192001345","0.1549268364906311","0","0.555899977684021","1.5105023384094238"
