"Name","State","Notes","User","Tags","Created","Runtime","Sweep","hidden_size","input_size","lr","num_classes","num_epochs","optimizer","prefactor","use_mup","act change a1","act change a2","act change a3","act change h1","act change h2","act mean(abs(a1))","act mean(abs(a2))","act mean(abs(a3))","act mean(abs(h1))","act mean(abs(h2))","act norm a1","act norm a2","act norm a3","act norm h1","act norm h2","epoch","grad mean(abs(grad_fc1.weight))","grad mean(abs(grad_fc2.weight))","grad mean(abs(grad_fc3.weight))","grad norm fc1.weight","grad norm fc2.weight","grad norm fc3.weight","spectral_norm_W0","spectral_norm_W1","spectral_norm_W2","test_acc","test_loss","train_loss","trainer/global_step","val_acc","val_loss"
"mup_sgd_w4096_lr0.25_e25_b128_3619","crashed","-","","","2024-10-22T04:08:18.000Z","165","","4096","3072","0.25","10","25","sgd","1.4142135623730951","true","","","","","","0.8128215670585632","1.180535078048706","2.248391628265381","0.3746536374092102","0.9631032943725586","66.80386352539062","94.0013427734375","8.533781051635742","44.62531280517578","87.56549072265625","22","0.00025694421492516994","0.00009878350101644172","0.02092965506017208","1.2076762914657593","0.6058759689331055","6.172959804534912","","","","","","0.8539828062057495","4349","0.508400022983551","1.4750572443008425"
"std_sgd_w4096_lr0.25_e25_b128_6783","crashed","-","","","2024-10-22T04:04:43.000Z","166","","4096","3072","0.25","10","25","sgd","1.4142135623730951","false","","","","","","0.6633306741714478","0.8952029943466187","4.248400688171387","0.2143539935350418","0.08439770340919495","54.0028076171875","76.61564636230469","16.74855613708496","26.915374755859375","15.238718032836914","22","0.0001648178877076134","0.00009912900713970883","0.0004521723021753132","0.7739769220352173","0.7497791647911072","0.17418184876441956","","","","","","0.13942483067512512","4399","0.5516999959945679","1.827120661735535"
"mup_sgd_w4096_lr0.125_e25_b128_8103","crashed","-","","","2024-10-22T04:01:01.000Z","180","","4096","3072","0.125","10","25","sgd","1.4142135623730951","true","","","","","","0.7684960961341858","1.2484675645828247","1.728848934173584","0.38525161147117615","1.0674210786819458","62.66297912597656","98.56494903564452","6.560425758361816","44.5080680847168","93.74456024169922","21","0.0001230306370416656","0.00004915447789244354","0.01243724673986435","0.579287588596344","0.29126349091529846","3.3816819190979004","","","","","","1.0594360828399658","4199","0.5227000117301941","1.3494093418121338"
"std_sgd_w4096_lr0.125_e25_b128_3464","crashed","-","","","2024-10-22T03:57:24.000Z","166","","4096","3072","0.125","10","25","sgd","1.4142135623730951","false","","","","","","0.4926157891750336","0.2714552581310272","4.050583839416504","0.1729925125837326","0.10413642227649687","40.61418914794922","22.053955078125","15.663418769836426","21.837108612060547","13.08602523803711","22","0.0005265048239380121","0.0003303786797914654","0.0019732334185391665","2.468435287475586","1.9810014963150024","0.6876595616340637","","","","","","0.3000480532646179","4449","0.5393999814987183","1.7726340293884275"
"mup_sgd_w2048_lr10.0_e25_b128_5504","failed","-","","","2024-10-22T03:55:29.000Z","74","","2048","3072","10","10","25","sgd","1.4142135623730951","true","","","","","","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","24","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","NaN","4899","0.10000000149011612","NaN"
"std_sgd_w2048_lr10.0_e25_b128_7569","failed","-","","","2024-10-22T03:53:48.000Z","74","","2048","3072","10","10","25","sgd","1.4142135623730951","false","","","","","","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","24","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","NaN","4899","0.10000000149011612","NaN"
"mup_sgd_w2048_lr1.0_e25_b128_5795","finished","-","","","2024-10-22T03:51:59.000Z","82","","2048","3072","1","10","25","sgd","1.4142135623730951","true","","","","","","1.5386337041854858","2.3243508338928223","4.138787269592285","0.5004435777664185","0.7840397357940674","89.54478454589844","133.6729736328125","16.007253646850586","45.247989654541016","71.59439849853516","0","0.000273203564574942","0.00019782086019404233","0.014467868022620678","0.911237359046936","0.6078612804412842","3.169224977493286","3.853327751159668","3.0864343643188477","7.497293472290039","0.5077999830245972","2.3252065181732178","0.2788712978363037","0","0.5077999830245972","2.325207233428955"
"std_sgd_w2048_lr1.0_e25_b128_3053","finished","-","","","2024-10-22T03:50:11.000Z","81","","2048","3072","1","10","25","sgd","1.4142135623730951","false","","","","","","2.1958799362182617","10.61445426940918","6.08885383605957","0.4771525263786316","0.05463460087776184","123.16055297851562","577.3768310546875","23.77056312561035","45.26505279541016","20.545682907104492","0","0.00031502018100582063","0.00014766512322239578","0.0008538931724615395","1.1187505722045898","1.4040982723236084","0.5592089891433716","16.811115264892578","21.451723098754883","16.582550048828125","0.4814000129699707","3.489973545074463","0.37017983198165894","0","0.4814000129699707","3.489973545074463"
"mup_sgd_w2048_lr0.5_e25_b128_1028","finished","-","","","2024-10-22T03:48:25.000Z","81","","2048","3072","0.5","10","25","sgd","1.4142135623730951","true","","","","","","1.070647358894348","1.2957468032836914","2.892254114151001","0.39759930968284607","0.7874683737754822","62.9096794128418","74.32823181152344","11.073769569396973","35.55249786376953","58.81843566894531","0","0.0003556555020622909","0.00018584096687845888","0.01491056103259325","1.1800943613052368","0.5534204840660095","3.117945909500122","2.4739370346069336","2.4451675415039062","5.2443060874938965","0.5248000025749207","1.65827476978302","0.4361511468887329","0","0.5248000025749207","1.6582750082015991"
"std_sgd_w2048_lr0.5_e25_b128_5149","finished","-","","","2024-10-22T03:46:37.000Z","81","","2048","3072","0.5","10","25","sgd","1.4142135623730951","false","","","","","","1.2402324676513672","2.448751926422119","5.813553333282471","0.34615373611450195","0.105201356112957","70.44336700439453","131.58706665039062","22.53428077697754","31.588619232177734","18.11390686035156","0","0.0003074876731261611","0.00027660734485834837","0.0011377083137631416","1.0495551824569702","1.2544584274291992","0.37457430362701416","7.297178268432617","7.276722431182861","12.437909126281738","0.5117999911308289","2.8798394203186035","0.1859648823738098","0","0.5117999911308289","2.879840135574341"
"mup_sgd_w2048_lr0.25_e25_b128_7623","finished","-","","","2024-10-22T03:44:48.000Z","82","","2048","3072","0.25","10","25","sgd","1.4142135623730951","true","","","","","","0.7672909498214722","1.123456954956055","2.2918505668640137","0.3392944931983948","0.9218655824661256","44.756370544433594","63.27440643310547","8.726890563964844","29.095317840576172","59.156761169433594","0","0.0004778776201419532","0.00018685641407500952","0.01896613836288452","1.594456434249878","0.5699361562728882","4.026774883270264","1.565659761428833","2.0522243976593018","4.222344398498535","0.5231999754905701","1.4434884786605835","0.6841399669647217","0","0.5231999754905701","1.4434887170791626"
